Qty;Value;Package;Parts;Farnell;Mouser
1;1;R1210;R3;;
1;500;R0805;R18;;
1;910;R0805;R20;;
1;1,5k;R0805;R22;;
1;1,8k;R0805;R23;;
1;100k;R0805;R10;;
2;10M;R0805;R11, R12;;
8;10k;R0805;R1, R2, R4, R5, R6, R7, R17, R19;;
2;1k;R0805;R8, R27;;
1;33k;R0805;R9;;
2;4,7k;R0805;R25, R26;;
4;4,99k;R0805;R13, R14, R15, R16;;
2;47k;R0805;R21, R24;;
10;100n;C0805;C6, C19, C20, C21, C22, C23, C24, C25, C27, C30;;
1;10n;C0805;C7;;
4;47n;C0805;C15, C16, C17, C18;;
3;10µ;C1206;C12, C26, C28;;
2;15p;C0805;C1, C2;;
1;1n;C0805;C5;;
1;1µ;C1206;C29;;
2;4,7µ;C1206;C9, C13;;
4;470n;C0805;C8, C10, C11, C14;;
1;16MHz;JXS53;Q1;2854042;815-ABM3B-16-B2
1;32kHz;FC-12M;Q2;;581-CX2016DB32000FPL
1;24LC32SN;SO-08;IC8;9758003;
1;AD5293BRUZ-100;TSSOP14;IC6;2192233;584-AD5293BRUZ-100
1;AD648JRZ;SO08;IC4;1660964;584-AD648JRZ
1;AD8226;SO8;IC3;1827360;584-AD8226ARZ
1;ADUCM350BBCZ;BC_120_3;IC1;2460461;584-ADUCM350BBCZ
1;BME680;BME680;IC5;;262-BME680 
1;MCP48X1SN;SO-08;IC7;;579-MCP4811-E/SN
1;TS912B;SO08;IC2;1750167;511-TS912BIDT
2;FDN337;SUPER-SOT3;T1, T2;2323185;512-FDN337N 
1;PCIE03602-F-D-EMS2;PCIE-036-02-F-D-EMS2;X1;2085389;
2;;1X06S;JP4, JP5;;
1;;1X08S;JP1;;
1;RASPBERRY_PI_B+_DIM;RASPBERRY_PI_BPLUS_DIM;PCB1;1569230;855-M20-6102045
2;RESET, Serial Boot;SKHMPXE010;S2;2056838;SKHMQMG020
8;TESTPLUG2MM;TESTPLUG2MM;TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8;"2292857 schwarz
1307228  rot
1307241  blau
1307216  grün
1307186  weiß
1654712  gelb";
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
